

 ! The solution file is: Results/11SecAI

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -12.979061    ,
 China       , -2.8103085    ,
 xAmericas   , -2.2127459    ,
 AdvancedAsia, -3.1976974    ,
 SouthAsia   , -3.1314068    ,
 xAsia       , -2.7345128    ,
 WEuroCndANZ , -3.3521507    ,
 MENA        , -2.4612517    ,
 SSA         , -2.6317878    ,
 RestofWorld , -2.8549385    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  24.619862    ,
 China       ,  1.6984670    ,
 xAmericas   ,  2.3036332    ,
 AdvancedAsia,  1.1634028    ,
 SouthAsia   , 0.72203946    ,
 xAsia       ,  1.6229769    ,
 WEuroCndANZ ,  2.0057664    ,
 MENA        ,  2.6006005    ,
 SSA         ,  2.9555168    ,
 RestofWorld ,  3.4544680    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  1.7985650    ,-0.93659157    , 0.25909176    ,-0.72818333    , -1.5678107    ,-0.64644426    ,-0.62072599    ,-0.66355288    ,-0.33303893    ,-0.69834971    ,
 Extraction  ,  6.8029742    ,  1.2361761    ,  3.1425040    ,  1.6693820    ,  1.2348495    ,  2.0703409    ,  2.9918044    ,  2.5058253    ,  2.5696054    ,  2.2074606    ,
 LightMnfc   , -1.6833659    ,-0.88284147    ,-0.18025608    , -1.2030060    , -1.1967413    ,-0.73685080    , -1.3072852    ,-0.60363215    ,-0.48504373    ,-0.61932445    ,
 HeavyMnfc   , -2.7660141    ,-0.67403865    ,-0.13260166    ,-0.99653435    ,-0.83273667    ,-0.68572980    , -1.2504305    ,-0.24596567    ,-0.39775729    , 1.36774126E-02,
 Energy      ,-0.88061130    , 0.66017187    ,  1.7130738    ,  1.0014094    , 0.23428147    ,  1.1014794    , 0.59188586    ,  1.5735967    ,  1.0737729    ,  1.0677280    ,
 CMN         , -19.773449    , -1.0604107    ,-0.32200620    , -1.5764639    , -1.7090818    ,-0.98364061    , -1.6911139    ,-0.68134451    ,-0.73099095    ,-0.96894419    ,
 OBS         , -21.973345    , -1.1278759    ,-0.31396827    , -1.6145873    , -1.9527817    , -1.2527277    , -1.6424551    ,-0.75687569    ,-0.78105986    ,-0.96728837    ,
 Trade       , -3.9429586    , -1.1633798    ,-0.23006217    , -1.4699122    , -1.4176207    ,-0.97620380    , -1.5622206    ,-0.50646961    ,-0.73425919    ,-0.70511985    ,
 Transport   , -12.735464    ,-0.84268266    , 8.09327289E-02, -1.2103367    , -1.2540703    ,-0.41012448    , -1.0359669    , 4.56328914E-02,-0.30983749    ,-2.09852550E-02,
 OthServices , -19.621277    , -1.0642135    ,-0.28482890    , -1.4593178    , -1.6034763    ,-0.96915394    , -1.5731196    ,-0.63723642    ,-0.68638575    ,-0.86337084    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  6.5245476    ,-0.22503948    ,-0.21386766    , -1.3456455    ,-0.85207576    ,-0.44160324    ,-0.79749578    , 0.79875070    , 0.28289416    ,  1.2080144    ,
 Extraction  ,  1.4643440    , -2.3230162    , -2.9994082    , -3.6347871    , -3.5354857    , -3.0650916    , -4.2975860    , -2.5922101    , -2.2743411    , -1.6763997    ,
 LightMnfc   ,  10.594832    ,-0.35979173    ,-0.21720111    ,-0.85284352    , -1.2193151    ,-0.45212680    ,-5.21003343E-02, 4.09631431E-02, 0.40265885    , 0.94939536    ,
 HeavyMnfc   ,  14.723571    , -1.0851414    ,-0.76707351    , -1.1282094    , -1.6871686    ,-0.50043267    ,-0.15279876    ,-0.97220027    ,-0.40266952    , -1.2428954    ,
 Energy      ,  9.4088373    , -1.8078108    , -1.6449801    , -3.0424392    , -2.6600268    , -2.2328019    , -1.9937063    , -1.4750445    ,-0.81903189    ,-0.56083339    ,
 CMN         ,  35.375446    ,-0.23180544    , 0.32295069    ,-0.63773572    ,-0.96966869    ,-0.26078701    , 0.20850459    ,-0.17848963    , 0.84248292    ,  1.4542481    ,
