

 ! The solution file is: Results/12Aug

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -14.002965    ,
 China       , -7.6730704    ,
 xAmericas   , -6.0369778    ,
 AdvancedAsia, -7.1089320    ,
 SouthAsia   , -6.9110460    ,
 xAsia       , -6.5712571    ,
 WEuroCndANZ , -7.0090117    ,
 MENA        , -5.5510678    ,
 SSA         , -6.4100718    ,
 RestofWorld , -5.9267983    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.185757    ,
 China       , 0.15657438    ,
 xAmericas   ,-0.58126324    ,
 AdvancedAsia, -3.3371081    ,
 SouthAsia   , -3.5009115    ,
 xAsia       , -2.5855246    ,
 WEuroCndANZ ,-0.65775537    ,
 MENA        , -2.5374672    ,
 SSA         ,-6.89670965E-02,
 RestofWorld , 0.38710257    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  3.3220541    , -7.2681727    , -4.6684532    , -7.0827556    , -9.4169321    , -8.0872669    , -6.2908120    , -6.4616022    , -6.5978556    , -7.0982251    ,
 Extraction  ,  6.4615879    , -4.0446911    ,-0.84799957    , -4.0120039    , -4.3261991    , -3.0875111    , -1.2292060    , -2.0953524    , -1.8668082    , -2.6703413    ,
 LightMnfc   , -12.171467    , -6.2505884    , -4.3157763    , -5.8659945    , -5.8877397    , -5.2650123    , -5.7018700    , -4.3498387    , -4.8375039    , -4.5391326    ,
 HeavyMnfc   , -12.524786    , -5.7891078    , -4.1029816    , -5.3240738    , -4.8768859    , -4.8715811    , -5.4998169    , -3.3074255    , -4.2321801    , -3.8363709    ,
 Energy      , -3.4733305    , -4.2691202    , -1.6202524    , -3.1814106    , -4.2968383    , -3.1319275    , -3.2448194    , -2.0617881    , -2.9048221    , -3.0650649    ,
 CMN         , -14.416725    , -6.1405625    , -3.6485367    , -5.4587774    , -5.4952359    , -4.3736906    , -5.1772799    , -3.2310522    , -4.3185577    , -3.5771134    ,
 OBS         , -15.035907    , -6.5924139    , -4.0883207    , -6.0964460    , -6.1765466    , -5.5489717    , -5.5765810    , -4.0122499    , -5.0486922    , -4.0110874    ,
 Trade       , -14.334770    , -6.4590683    , -3.6268640    , -5.6109076    , -4.7202101    , -4.6554017    , -5.5030293    , -2.8708465    , -4.8617077    , -2.4662790    ,
 Transport   , -10.879663    , -5.9440160    , -3.4559274    , -5.3899465    , -5.4648666    , -4.3870091    , -4.9375043    , -2.8798025    , -4.2942452    , -3.4371102    ,
 OthServices , -14.155822    , -6.4289637    , -4.0541577    , -5.7147493    , -5.7883153    , -5.0179634    , -5.5597801    , -3.9849815    , -4.9131212    , -4.1914010    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  21.647209    ,-0.28058434    , -1.9710114    , -3.3330493    ,-0.74470460    ,-0.29821044    , -1.4177024    , -1.3029718    , 0.11100572    ,  1.6658400    ,
 Extraction  ,  17.900616    , -3.5535140    , -5.7630348    , -6.3352537    , -5.9419856    , -5.6658964    , -6.5010762    , -5.8930712    , -4.7051520    , -2.9404187    ,
 LightMnfc   ,  46.710285    , -1.5119486    , -3.9684787    , -4.8864346    , -4.5770278    , -4.0174127    , -2.4042428    , -6.0638108    , -2.4622221    , -1.5703148    ,
 HeavyMnfc   ,  60.296650    , -1.9015865    , -5.4440398    , -5.7615337    , -6.2592945    , -4.4157472    , -3.6601191    , -8.8314924    , -5.0690999    , -4.8099847    ,
 Energy      ,  30.239044    , -3.4047432    , -5.0446339    , -7.2583137    , -6.1368604    , -6.0442548    , -4.5225959    , -6.0098004    , -3.6765943    , -2.5765460    ,
 CMN         ,  47.008671    , -1.4907721    , -3.0704668    , -5.0708194    , -5.0201797    , -4.8699031    , -2.6066751    , -5.5455275    , -2.3265212    , -2.0817211    ,
 OBS         ,  49.070976    , -1.0081701    , -2.6518080    , -4.4619184    , -4.5637717    , -3.9632075    , -2.2451699    , -4.6786280    , -2.3358166    , -2.3784590    ,
 Trade       ,  49.174767    , -1.1359582    , -3.6192865    , -4.9633880    , -5.7401834    , -4.6507506    , -2.2500277    , -6.6208568    , -2.5082839    , -3.8104539    ,
 Transport   ,  41.521713    , -1.6696568    , -3.4638267    , -5.2251306    , -4.9855261    , -4.8275871    , -2.8279896    , -5.5084600    , -2.3777623    , -2.2619865    ,
 OthServices ,  46.446125    , -1.1832476    , -2.6529379    , -4.7780404    , -4.6664462    , -4.2155361    , -2.1900516    , -4.2564411    , -1.7443370    , -1.4564081    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  138.42613    , -9.1236601    , -8.5531759    , -11.299960    , -15.897055    , -10.670093    , -10.152068    , -18.903263    , -10.143077    , -14.236513    ,
 Tech_AsPros ,  24.539785    , -8.3468819    , -7.0856142    , -9.8541784    , -10.097838    , -9.4271612    , -8.1791353    , -8.8566027    , -7.5031061    , -6.9710193    ,
 Clerks      ,  24.541075    , -8.1856318    , -6.8468494    , -9.7635403    , -9.1288986    , -8.5029564    , -8.0652838    , -8.5749350    , -7.4608855    , -6.6340599    ,
 Service_Shop,  24.507195    , -8.2673988    , -6.7084103    , -9.9324875    , -9.2542038    , -9.3971224    , -7.8447762    , -8.3113089    , -7.5168881    , -5.6714649    ,
 Off_Mgr_Pros,  24.492462    , -8.3768311    , -7.2242618    , -10.154283    , -9.9054403    , -9.5113955    , -8.1635742    , -8.8538694    , -7.5844488    , -7.3045387    ,
 Ag_OthLowSk ,  25.705591    , -7.8261089    , -7.1941342    , -10.091496    , -10.169810    , -9.5185032    , -8.2769356    , -10.484700    , -8.0747976    , -8.4157591    ,
 Capital     , -9.9975033    , -4.6139507    ,-0.40604904    , -1.4953108    ,-0.99560243    ,-0.91585368    , -2.3574915    , 0.81953251    , -1.0203201    ,-0.53971928    ,
 NatRes      ,  74.962593    ,  6.8114343    ,  6.6488824    ,-0.54260701    ,-0.82486320    , -1.0513041    ,  12.850412    , -2.8939521    ,  3.6973121    , -1.8700637    ,
 Agriculture ,  3.3220541    , -7.2681727    , -4.6684532    , -7.0827556    , -9.4169321    , -8.0872669    , -6.2908120    , -6.4616022    , -6.5978556    , -7.0982251    ,
 Extraction  ,  6.4615879    , -4.0446911    ,-0.84799957    , -4.0120039    , -4.3261991    , -3.0875111    , -1.2292060    , -2.0953524    , -1.8668082    , -2.6703413    ,
 LightMnfc   , -12.171467    , -6.2505884    , -4.3157763    , -5.8659945    , -5.8877397    , -5.2650123    , -5.7018700    , -4.3498387    , -4.8375039    , -4.5391326    ,
 HeavyMnfc   , -12.524786    , -5.7891078    , -4.1029816    , -5.3240738    , -4.8768859    , -4.8715811    , -5.4998169    , -3.3074255    , -4.2321801    , -3.8363709    ,
 Energy      , -3.4733305    , -4.2691202    , -1.6202524    , -3.1814106    , -4.2968383    , -3.1319275    , -3.2448194    , -2.0617881    , -2.9048221    , -3.0650649    ,
 CMN         , -14.416725    , -6.1405625    , -3.6485367    , -5.4587774    , -5.4952359    , -4.3736906    , -5.1772799    , -3.2310522    , -4.3185577    , -3.5771134    ,
 OBS         , -15.035907    , -6.5924139    , -4.0883207    , -6.0964460    , -6.1765466    , -5.5489717    , -5.5765810    , -4.0122499    , -5.0486922    , -4.0110874    ,
 Trade       , -14.334770    , -6.4590683    , -3.6268640    , -5.6109076    , -4.7202101    , -4.6554017    , -5.5030293    , -2.8708465    , -4.8617077    , -2.4662790    ,
