

 ! The solution file is: Results/13SecNAI

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , 0.88093865    ,
 China       , -4.2765012    ,
 xAmericas   , -3.2648427    ,
 AdvancedAsia, -3.3432965    ,
 SouthAsia   , -3.2984953    ,
 xAsia       , -3.2930083    ,
 WEuroCndANZ , -3.1668062    ,
 MENA        , -2.7055957    ,
 SSA         , -3.4123430    ,
 RestofWorld , -2.7533565    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  14.535874    ,
 China       , -1.7826109    ,
 xAmericas   , -3.3555698    ,
 AdvancedAsia, -4.6024809    ,
 SouthAsia   , -4.4633155    ,
 xAsia       , -4.4586296    ,
 WEuroCndANZ , -2.8514423    ,
 MENA        , -5.5497794    ,
 SSA         , -3.3872924    ,
 RestofWorld , -3.4291027    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,-0.64038163    , -6.0448098    , -4.9833808    , -6.1867986    , -7.7485957    , -7.4309406    , -5.4728703    , -5.7246861    , -6.1811934    , -6.3033080    ,
 Extraction  , -1.2044342    , -5.1651530    , -4.2077775    , -5.5511699    , -5.5076962    , -5.1653452    , -4.4298983    , -4.7384157    , -4.5807939    , -4.8937616    ,
 LightMnfc   , -9.8904181    , -5.0581880    , -3.9336431    , -4.3722739    , -4.5134463    , -4.2922769    , -4.1717968    , -3.6519012    , -4.2689042    , -3.8582833    ,
 HeavyMnfc   , -9.0593920    , -4.8175411    , -3.7083943    , -4.0448775    , -3.8670962    , -3.9177823    , -4.0309548    , -2.9883852    , -3.7605457    , -3.8155668    ,
 Energy      , -2.4235818    , -4.7751665    , -3.3405478    , -4.1330142    , -4.4711328    , -4.1640677    , -3.7776241    , -3.7043185    , -4.0198755    , -4.1350288    ,
 CMN         ,  7.6598220    , -4.7470970    , -3.1250396    , -3.6169276    , -3.6205423    , -3.1462579    , -3.3205912    , -2.5201390    , -3.5290616    , -2.6172180    ,
 OBS         ,  9.8149939    , -5.1324935    , -3.5659766    , -4.1987796    , -4.0630059    , -4.0740247    , -3.7379878    , -3.2435627    , -4.1974945    , -3.0550146    ,
 Trade       , -9.7715454    , -4.9476099    , -3.1831326    , -3.8434231    , -3.0963025    , -3.4104288    , -3.7391741    , -2.3238204    , -4.0518012    , -1.7636503    ,
 Transport   ,  3.2658701    , -4.7902112    , -3.3902495    , -3.9625866    , -4.0479531    , -3.7972546    , -3.7683797    , -2.9150569    , -3.9477286    , -3.4075210    ,
 OthServices ,  7.7860832    , -5.0296893    , -3.5594320    , -3.9570153    , -4.0020871    , -3.7970073    , -3.7761261    , -3.3024197    , -4.1572833    , -3.3261352    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
