

 ! The solution file is: Results/15China

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         ,  3.4498768    ,
 China       , -7.9437671    ,
 xAmericas   ,  2.1458127    ,
 AdvancedAsia, 0.66030955    ,
 SouthAsia   ,  1.6231587    ,
 xAsia       ,  1.5489421    ,
 WEuroCndANZ ,  1.8029629    ,
 MENA        ,  3.5613842    ,
 SSA         ,  5.1839571    ,
 RestofWorld ,  4.0036116    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  1.2229846    ,
 China       ,  40.185959    ,
 xAmericas   ,  8.8005095    ,
 AdvancedAsia,  6.0384922    ,
 SouthAsia   ,  5.5809360    ,
 xAsia       ,  9.6980696    ,
 WEuroCndANZ ,  4.0939918    ,
 MENA        ,  18.557503    ,
 SSA         ,  12.177920    ,
 RestofWorld ,  12.953392    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  7.5738888    ,  21.140200    ,  8.8071871    ,  8.6158981    ,  9.3562088    ,  13.605014    ,  6.9989376    ,  8.8941584    ,  11.551188    ,  9.6818237    ,
 Extraction  ,  22.934292    ,  35.884392    ,  26.081972    ,  23.954510    ,  22.309734    ,  26.470690    ,  25.973419    ,  25.848059    ,  26.671606    ,  25.064148    ,
 LightMnfc   ,  3.2038274    , -3.0063841    ,  2.5772212    ,  1.1797158    ,  2.7096267    ,  2.5712290    ,  2.0939903    ,  3.2592113    ,  5.7027750    ,  4.9652295    ,
 HeavyMnfc   ,  3.0896521    , -3.9738994    ,  2.6817985    ,  1.5549514    ,  2.9841323    ,  1.5908133    ,  2.4163992    ,  3.7037642    ,  5.1852503    ,  9.0389299    ,
 Energy      ,  14.376773    ,  13.442173    ,  14.355086    ,  15.099583    ,  12.465470    ,  15.743959    ,  12.037594    ,  17.233519    ,  15.631358    ,  16.325121    ,
 CMN         ,  2.7537735    , -11.591934    ,-0.39059234    , -1.5188341    ,-0.93886399    , -1.5066103    ,-0.34821159    , 0.62770230    ,  3.2478158    ,  1.1294019    ,
 OBS         ,  3.2709205    , -11.261618    , 0.62220949    ,-0.38806698    ,-0.27252373    , 0.81649703    , 0.45988795    ,  2.8527005    ,  5.0115147    ,  2.4581065    ,
 Trade       ,  2.6764858    , -13.869981    ,-0.24944311    , -1.0450019    , -2.0343933    , -1.0484729    , 0.66338432    , 0.43410149    ,  4.4668403    ,-0.31124675    ,
 Transport   ,  6.2797203    , -8.7166443    ,  4.7239423    ,  2.2534499    ,  2.3623312    ,  4.7903504    ,  4.4102864    ,  6.1639347    ,  7.3896189    ,  8.1438055    ,
 OthServices ,  2.5424943    , -10.983287    , 0.74976838    ,-0.75809979    , 0.15156475    , 0.37006909    , 0.55055559    ,  2.8870866    ,  5.2085543    ,  3.4385076    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -2.6551285    ,  6.5287728    ,  2.1276715    , -1.7217797    , -1.8887838    , -2.7757027    ,-0.95950264    ,  12.338296    ,  4.0163388    ,  7.0895882    ,
 Extraction  , -14.798678    , -5.4437728    , -11.934721    , -13.852466    , -12.134487    , -12.679034    , -15.920309    , -5.4083056    , -6.9028616    , -6.2142568    ,
 LightMnfc   , 0.68415284    ,  34.793503    ,  7.8158727    ,  5.4162593    ,  4.1947980    ,  8.3849840    ,  3.6265650    ,  16.285257    ,  8.3558950    ,  10.332937    ,
 HeavyMnfc   , -2.4719322    ,  46.145214    ,  6.8391042    ,  4.1435399    ,  1.7860843    ,  9.4920044    ,  2.2581005    ,  13.420645    ,  2.6678467    , -5.3691192    ,
 Energy      , -8.4472742    ,  13.758320    , -2.8157232    , -7.2640634    , -4.5976672    , -3.7554700    , -5.4149914    ,  4.7309604    ,  2.0425406    , 0.98902678    ,
 CMN         ,  1.8783090    ,  46.507244    ,  11.571182    ,  8.4148159    ,  8.3541651    ,  13.129876    ,  6.3431911    ,  21.649046    ,  14.136767    ,  16.149641    ,
 OBS         ,  1.1188344    ,  45.875717    ,  10.442702    ,  7.1996331    ,  7.7879825    ,  10.386645    ,  5.4842458    ,  18.791164    ,  10.323709    ,  14.092959    ,
 Trade       ,  1.4308797    ,  49.991463    ,  11.284856    ,  7.6708331    ,  9.5511761    ,  12.558068    ,  5.2142363    ,  21.598932    ,  8.5560579    ,  17.851973    ,
 Transport   , -1.6121159    ,  42.020512    ,  6.0528102    ,  4.8335500    ,  4.9169998    ,  6.2916107    ,  1.4918795    ,  15.294990    ,  9.5671492    ,  8.4861193    ,
 OthServices ,  2.1186798    ,  45.107346    ,  10.307701    ,  7.5571527    ,  7.1359391    ,  10.983901    ,  5.3904986    ,  19.241318    ,  11.979132    ,  13.541311    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  43.646927    ,  186.53508    ,  49.181343    ,  48.042282    ,  23.966688    ,  31.560957    ,  51.771595    ,  47.056019    ,  31.879694    ,  30.662123    ,
 Tech_AsPros ,  4.4196143    , -20.579512    ,  7.7534838    ,  5.8626757    ,  5.3252797    ,  6.6304040    ,  4.9965854    ,  14.808682    ,  11.678571    ,  8.6686592    ,
 Clerks      ,  4.4825845    , -20.206026    ,  7.1520939    ,  5.5236254    ,  3.3836508    ,  4.3635993    ,  4.8141098    ,  14.125898    ,  9.8254309    ,  7.3866973    ,
 Service_Shop,  4.5945807    , -20.549150    ,  7.3398147    ,  5.5835171    ,  3.2117014    ,  7.1514807    ,  4.6561007    ,  14.793793    ,  10.823139    ,  6.8011293    ,
 Off_Mgr_Pros,  4.6416435    , -20.790031    ,  7.4793158    ,  6.1509285    ,  4.6257815    ,  6.9931912    ,  5.1098948    ,  15.571027    ,  11.934107    ,  8.1811876    ,
 Ag_OthLowSk ,  4.1376166    , -20.590532    ,  8.4178486    ,  6.1734533    ,  7.1389089    ,  7.6976628    ,  5.5905681    ,  14.385451    ,  14.977700    ,  6.0453882    ,
 Capital     , -3.5991569    , -11.920792    , -7.3440108    , -8.7858362    , -8.5003395    , -7.9993353    , -5.7843184    , -7.5052066    , -4.1319237    , -5.1451678    ,
 NatRes      ,  103.03297    ,  285.53033    ,  143.21193    ,  166.77785    ,  129.06459    ,  137.14871    ,  146.53752    ,  113.63821    ,  130.74013    ,  112.28564    ,
 Agriculture ,  7.5738888    ,  21.140200    ,  8.8071871    ,  8.6158981    ,  9.3562088    ,  13.605014    ,  6.9989376    ,  8.8941584    ,  11.551188    ,  9.6818237    ,
 Extraction  ,  22.934292    ,  35.884392    ,  26.081972    ,  23.954510    ,  22.309734    ,  26.470690    ,  25.973419    ,  25.848059    ,  26.671606    ,  25.064148    ,
 LightMnfc   ,  3.2038274    , -3.0063841    ,  2.5772212    ,  1.1797158    ,  2.7096267    ,  2.5712290    ,  2.0939903    ,  3.2592113    ,  5.7027750    ,  4.9652295    ,
 HeavyMnfc   ,  3.0896521    , -3.9738994    ,  2.6817985    ,  1.5549514    ,  2.9841323    ,  1.5908133    ,  2.4163992    ,  3.7037642    ,  5.1852503    ,  9.0389299    ,
 Energy      ,  14.376773    ,  13.442173    ,  14.355086    ,  15.099583    ,  12.465470    ,  15.743959    ,  12.037594    ,  17.233519    ,  15.631358    ,  16.325121    ,
 CMN         ,  2.7537735    , -11.591934    ,-0.39059234    , -1.5188341    ,-0.93886399    , -1.5066103    ,-0.34821159    , 0.62770230    ,  3.2478158    ,  1.1294019    ,
 OBS         ,  3.2709205    , -11.261618    , 0.62220949    ,-0.38806698    ,-0.27252373    , 0.81649703    , 0.45988795    ,  2.8527005    ,  5.0115147    ,  2.4581065    ,
 Trade       ,  2.6764858    , -13.869981    ,-0.24944311    , -1.0450019    , -2.0343933    , -1.0484729    , 0.66338432    , 0.43410149    ,  4.4668403    ,-0.31124675    ,
 Transport   ,  6.2797203    , -8.7166443    ,  4.7239423    ,  2.2534499    ,  2.3623312    ,  4.7903504    ,  4.4102864    ,  6.1639347    ,  7.3896189    ,  8.1438055    ,
 OthServices ,  2.5424943    , -10.983287    , 0.74976838    ,-0.75809979    , 0.15156475    , 0.37006909    , 0.55055559    ,  2.8870866    ,  5.2085543    ,  3.4385076    ,
 CGDS        ,  2.5811653    , -8.7168007    ,  1.2880517    ,-0.18497708    , 0.76978666    , 0.69619328    , 0.94808096    ,  2.6917360    ,  4.3006835    ,  3.1302497    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  8.8120537    ,  8.3026371    ,  7.9250546    ,  9.3153515    ,  9.1942749    ,  9.8309450    ,  7.7261510    ,  8.3022718    ,  9.4943876    ,  8.6004553    ,
 Extraction  ,  24.885279    ,  24.319746    ,  23.775461    ,  24.681879    ,  24.918577    ,  24.923935    ,  24.438309    ,  24.504803    ,  25.202368    ,  24.084827    ,
 LightMnfc   ,  1.0554396    ,  2.3864601    ,  1.5361347    , 0.93080717    ,  1.0549175    , 0.53497285    ,  1.8282033    ,  1.5612692    ,  1.0641874    ,  1.3969502    ,
 HeavyMnfc   , 0.26547381    ,  2.0558569    , 0.92192775    , 6.57298788E-02, 0.24286290    , 4.80971225E-02,  1.7817235    ,  1.3312429    , 0.72375780    ,  1.7931933    ,
 Energy      ,  13.504642    ,  14.782142    ,  13.875558    ,  14.608382    ,  14.491440    ,  14.533052    ,  13.632041    ,  14.081458    ,  14.029490    ,  14.796208    ,
 CMN         ,-0.97719020    , 2.86176670E-02,-0.36674845    ,-0.49775267    ,-0.30001181    ,-0.31566811    ,-0.25826123    ,-0.94381350    ,-0.45673731    ,-0.43731123    ,
 OBS         ,-0.45611766    , 0.81351519    , 0.33726704    , 0.30277163    , 0.26436484    , 0.35368797    , 0.43448865    ,-6.26661703E-02, 0.31642646    , 0.36609617    ,
 Trade       ,-0.59939730    ,-0.12271137    ,-0.76014316    , -1.5982102    ,-0.19946502    , -1.2368542    , -1.3654777    ,-0.87611455    , -1.2361984    ,-0.26424453    ,
 Transport   ,  3.3091424    ,  4.7466874    ,  4.0851541    ,  3.5949636    ,  4.2474618    ,  3.9556396    ,  4.1246891    ,  3.4049261    ,  3.8899443    ,  3.6891224    ,
 OthServices , 0.18547985    , 0.97989070    , 0.65189582    ,-0.12771910    , 0.67106825    , 0.20005427    , 0.54067826    , 0.21388139    , 0.31017894    , 5.99450171E-02,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.4537969    ,  41.734287    ,  4.2689509    , -3.3167551    , -1.5174813    ,  5.9683146    , -2.6548307    ,  13.909885    ,  9.0695772    ,  9.8286715    ,
 Extraction  , -21.432831    ,  49.474468    , -3.1530037    , -16.408718    , -21.181362    , -6.9680147    , -10.441873    ,-3.53658944E-02, -1.1397908    , -2.3406341    ,
