

 ! The solution file is: Results/16LowSk

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -2.0978875    ,
 China       ,-0.52368772    ,
 xAmericas   , 0.33352041    ,
 AdvancedAsia,-9.31884423E-02,
 SouthAsia   ,-3.89098041E-02,
 xAsia       , 0.10614040    ,
 WEuroCndANZ ,-3.66343185E-02,
 MENA        , 0.57959431    ,
 SSA         , 0.10618354    ,
 RestofWorld , 0.43588027    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  18.794535    ,
 China       ,-0.31355986    ,
 xAmericas   , -1.0111517    ,
 AdvancedAsia, -2.2118070    ,
 SouthAsia   , -2.2459121    ,
 xAsia       , -1.9514601    ,
 WEuroCndANZ ,-0.87940067    ,
 MENA        , -2.2831855    ,
 SSA         ,-0.84932578    ,
 RestofWorld ,-0.72122294    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  5.3502769    ,-0.70515114    , 0.52431238    ,-0.63428479    , -2.0093122    , -1.3541609    ,-0.23680805    ,-0.46506050    ,-0.59391832    ,-0.79097599    ,
 Extraction  ,  5.2492537    , 0.50815427    ,  1.8376046    , 0.39472783    , 0.28568822    , 0.80423224    ,  1.6293478    ,  1.2432034    ,  1.3735658    ,  1.0244672    ,
 LightMnfc   , -3.5702598    ,-0.13940570    , 0.85354614    , 0.16312812    , 8.32979977E-02, 0.39013237    , 0.24909239    , 0.83923364    , 0.51596671    , 0.71281976    ,
 HeavyMnfc   , -3.5972037    , 6.46378919E-02, 0.96008289    , 0.42502072    , 0.59923416    , 0.61195844    , 0.34975350    ,  1.3659279    , 0.85079658    , 0.94919848    ,
 Energy      ,  1.3104006    , 0.55784696    ,  1.8556732    ,  1.0778061    , 0.60030735    ,  1.0877094    ,  1.1590348    ,  1.5557132    ,  1.1986308    ,  1.1093558    ,
 CMN         , -5.4925208    ,-3.04869451E-02,  1.2747535    , 0.48643476    , 0.43555668    , 0.98806626    , 0.63024402    ,  1.5053850    , 0.88374132    ,  1.3621025    ,
 OBS         ,-0.23914441    ,-0.28630340    ,  1.0028198    , 0.11525285    , 9.12662223E-02, 0.32475793    , 0.39288259    ,  1.0346880    , 0.44692338    ,  1.0980308    ,
 Trade       , -3.0291421    ,-0.18933293    ,  1.2720360    , 0.38408673    , 0.86868274    , 0.82854843    , 0.41992679    ,  1.6904225    , 0.55742168    ,  1.9786640    ,
 Transport   , -3.1720390    , 2.31878329E-02,  1.2426322    , 0.40074205    , 0.33611315    , 0.79234487    , 0.58906734    ,  1.5131868    , 0.76827139    ,  1.1941597    ,
 OthServices ,-0.70894015    ,-0.20364587    ,  1.0194118    , 0.31915817    , 0.24811342    , 0.59409845    , 0.39319536    ,  1.0384102    , 0.50768870    , 0.96228278    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
