

 ! The solution file is: Results/17HiSk

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -4.9794388    ,
 China       , 0.44328129    ,
 xAmericas   ,  1.2751997    ,
 AdvancedAsia, 0.64653921    ,
 SouthAsia   , 0.72113442    ,
 xAsia       , 0.95602876    ,
 WEuroCndANZ , 0.65389889    ,
 MENA        ,  1.4277346    ,
 SSA         , 0.98245436    ,
 RestofWorld ,  1.1846825    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  24.057150    ,
 China       , 0.45713821    ,
 xAmericas   , 0.15749474    ,
 AdvancedAsia, -1.1830360    ,
 SouthAsia   , -1.3401949    ,
 xAsia       ,-0.80149794    ,
 WEuroCndANZ , 0.10884211    ,
 MENA        ,-0.73567504    ,
 SSA         , 0.43031725    ,
 RestofWorld , 0.71604377    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  3.5290627    , 0.91886836    ,  2.0412657    , 0.82944667    ,-0.29046974    , 0.29926649    ,  1.3222725    ,  1.2672825    ,  1.2277873    , 0.93218201    ,
 Extraction  ,  8.1725311    ,  2.7646904    ,  4.4258170    ,  2.7981288    ,  2.5798841    ,  3.2692654    ,  4.2158017    ,  3.7608750    ,  3.8780401    ,  3.4842384    ,
 LightMnfc   , -1.6967273    ,  1.4927257    ,  2.4377611    ,  1.6250602    ,  1.5787823    ,  1.9445193    ,  1.6742387    ,  2.3643789    ,  2.1266153    ,  2.2668922    ,
 HeavyMnfc   , -1.9434427    ,  1.7541786    ,  2.6013966    ,  1.9235020    ,  2.1258848    ,  2.1811469    ,  1.7878817    ,  2.9175389    ,  2.4450445    ,  2.6863692    ,
 Energy      ,  2.3706064    ,  2.6015105    ,  3.9305565    ,  3.1223638    ,  2.4990511    ,  3.1650949    ,  3.0446110    ,  3.6854656    ,  3.2278192    ,  3.1678262    ,
 CMN         , -1.9729140    ,  1.5588797    ,  2.8020916    ,  1.7988577    ,  1.7450806    ,  2.3885131    ,  1.8969613    ,  2.8982244    ,  2.3623512    ,  2.6938989    ,
 OBS         , -7.8035913    ,  1.3298345    ,  2.6024220    ,  1.4856575    ,  1.3685595    ,  1.7927179    ,  1.7048166    ,  2.5129924    ,  2.0124316    ,  2.4808965    ,
 Trade       , -4.8877182    ,  1.4003118    ,  2.8290653    ,  1.7440193    ,  2.1445541    ,  2.2629852    ,  1.7507873    ,  3.0952470    ,  2.1105330    ,  3.2438691    ,
 Transport   ,-0.98592484    ,  1.6681523    ,  2.8949752    ,  1.8577759    ,  1.8003060    ,  2.4258780    ,  2.0626519    ,  3.1420023    ,  2.4178748    ,  2.8673825    ,
 OthServices , -6.5189390    ,  1.4179583    ,  2.6166165    ,  1.6859576    ,  1.6012226    ,  2.0774415    ,  1.7197334    ,  2.5444655    ,  2.0844116    ,  2.4088120    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  13.856765    ,-1.62243638E-02,-0.58835572    , -1.3518625    ,-0.30202612    , 0.13239913    ,-0.55111164    ,-0.54010844    , 3.09687685E-02, 0.97367918    ,
 Extraction  ,  8.8961039    , -1.7732364    , -2.8494930    , -3.1909051    , -3.0405459    , -2.8192401    , -3.3270054    , -2.8459575    , -2.3742034    , -1.5066880    ,
 LightMnfc   ,  21.390558    ,-0.65994090    , -1.7154685    , -2.2531199    , -2.1764972    , -1.8042430    , -1.0458919    , -2.6971178    , -1.0211374    ,-0.57119638    ,
 HeavyMnfc   ,  27.026663    ,-0.92158324    , -2.4691274    , -2.6789761    , -2.9839401    , -2.0329249    , -1.5682980    , -4.0558181    , -2.2066381    , -2.1988254    ,
 Energy      ,  15.150048    , -1.6559843    , -2.4014626    , -3.5554938    , -3.0515175    , -2.9256275    , -2.2137578    , -2.8971360    , -1.7541974    , -1.2199707    ,
 CMN         ,  20.289593    ,-0.64990902    , -1.3413129    , -2.3174276    , -2.3549888    , -2.2088451    , -1.1222231    , -2.4351144    ,-0.95265931    ,-0.77323252    ,
 OBS         ,  28.753117    ,-0.44371748    , -1.1755987    , -2.0949721    , -2.3447797    , -1.9302367    ,-0.99993229    , -2.2071583    , -1.2689997    , -1.0822964    ,
 Trade       ,  25.346958    ,-0.48862264    , -1.6777499    , -2.3326919    , -2.7274539    , -2.1345203    ,-0.97648901    , -3.1020656    , -1.1667016    , -1.6191168    ,
 Transport   ,  19.240250    ,-0.74822122    , -1.5307465    , -2.4127016    , -2.3880486    , -2.2336552    , -1.2751306    , -2.5251193    , -1.0233585    ,-0.96039689    ,
 OthServices ,  26.100246    ,-0.51988965    , -1.1650634    , -2.2040405    , -2.2096398    , -1.9224677    ,-0.94712234    , -1.9137988    ,-0.73675120    ,-0.50560081    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  72.376137    ,-0.32135856    , -1.3232827    , -2.3024929    , -3.7797451    , -1.4954236    , -1.3896503    , -5.5404406    ,-0.75747186    , -2.9411070    ,
 Tech_AsPros , -17.449512    , 0.46160564    ,  1.1416451    ,-0.39854786    ,-0.73142475    ,-0.14608614    , 0.44745731    , 7.91656226E-02, 0.79148519    ,  1.0028939    ,
 Clerks      ,  10.133207    , 0.54666078    ,  1.2695942    ,-0.34338212    ,-8.89018476E-02, 0.36414993    , 0.51079243    , 0.22581732    , 0.84402847    ,  1.1915090    ,
 Service_Shop,  9.9777184    , 0.50420004    ,  1.3334203    ,-0.46536219    ,-0.17220598    ,-0.13547347    , 0.59046972    , 0.36689436    , 0.80436832    ,  1.6709905    ,
 Off_Mgr_Pros, -19.188818    , 0.44960326    ,  1.0937363    ,-0.56659031    ,-0.56524533    ,-0.18571471    , 0.43047133    , 7.79822022E-02, 0.74846882    , 0.81628656    ,
 Ag_OthLowSk ,  12.970284    , 0.73677522    ,  1.0832598    ,-0.43880039    ,-0.57355022    ,-0.12250098    , 0.47920755    ,-0.69566959    , 0.52567846    , 0.32836440    ,
 Capital     , -2.6419201    ,  2.3040872    ,  4.3774953    ,  3.7525544    ,  3.9711595    ,  4.0761313    ,  3.2866490    ,  4.8794827    ,  3.9691024    ,  4.1624870    ,
 NatRes      ,  49.497787    ,  8.8674269    ,  9.1622858    ,  5.9486217    ,  5.3686628    ,  5.1553960    ,  12.597879    ,  4.2563515    ,  7.8928347    ,  5.0180922    ,
 Agriculture ,  3.5290627    , 0.91886836    ,  2.0412657    , 0.82944667    ,-0.29046974    , 0.29926649    ,  1.3222725    ,  1.2672825    ,  1.2277873    , 0.93218201    ,
 Extraction  ,  8.1725311    ,  2.7646904    ,  4.4258170    ,  2.7981288    ,  2.5798841    ,  3.2692654    ,  4.2158017    ,  3.7608750    ,  3.8780401    ,  3.4842384    ,
 LightMnfc   , -1.6967273    ,  1.4927257    ,  2.4377611    ,  1.6250602    ,  1.5787823    ,  1.9445193    ,  1.6742387    ,  2.3643789    ,  2.1266153    ,  2.2668922    ,
 HeavyMnfc   , -1.9434427    ,  1.7541786    ,  2.6013966    ,  1.9235020    ,  2.1258848    ,  2.1811469    ,  1.7878817    ,  2.9175389    ,  2.4450445    ,  2.6863692    ,
 Energy      ,  2.3706064    ,  2.6015105    ,  3.9305565    ,  3.1223638    ,  2.4990511    ,  3.1650949    ,  3.0446110    ,  3.6854656    ,  3.2278192    ,  3.1678262    ,
 CMN         , -1.9729140    ,  1.5588797    ,  2.8020916    ,  1.7988577    ,  1.7450806    ,  2.3885131    ,  1.8969613    ,  2.8982244    ,  2.3623512    ,  2.6938989    ,
 OBS         , -7.8035913    ,  1.3298345    ,  2.6024220    ,  1.4856575    ,  1.3685595    ,  1.7927179    ,  1.7048166    ,  2.5129924    ,  2.0124316    ,  2.4808965    ,
 Trade       , -4.8877182    ,  1.4003118    ,  2.8290653    ,  1.7440193    ,  2.1445541    ,  2.2629852    ,  1.7507873    ,  3.0952470    ,  2.1105330    ,  3.2438691    ,
 Transport   ,-0.98592484    ,  1.6681523    ,  2.8949752    ,  1.8577759    ,  1.8003060    ,  2.4258780    ,  2.0626519    ,  3.1420023    ,  2.4178748    ,  2.8673825    ,
 OthServices , -6.5189390    ,  1.4179583    ,  2.6166165    ,  1.6859576    ,  1.6012226    ,  2.0774415    ,  1.7197334    ,  2.5444655    ,  2.0844116    ,  2.4088120    ,
 CGDS        , -4.0246425    ,  1.4525666    ,  2.2928443    ,  1.6578668    ,  1.7332118    ,  1.9704664    ,  1.6653006    ,  2.4469121    ,  1.9971573    ,  2.2014172    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  1.5951422    ,  1.9705796    ,  2.4830244    ,  1.8672642    ,  1.2284435    ,  1.4704196    ,  1.5225887    ,  1.3253351    ,  1.0519335    ,  1.3078730    ,
 Extraction  ,  3.9865594    ,  3.7903185    ,  4.7663331    ,  3.6960852    ,  3.7724423    ,  3.5864856    ,  3.8294909    ,  3.8063672    ,  3.7630239    ,  3.5666800    ,
 LightMnfc   ,  1.8076390    ,  1.1779101    , 0.85776633    ,  1.2154925    ,  1.5568813    ,  1.5185623    ,  1.4304105    ,  1.5446575    ,  1.6058174    ,  1.7030754    ,
 HeavyMnfc   ,  1.9875578    ,  1.6936862    , 0.76278543    ,  1.4857084    ,  1.7698284    ,  1.7183492    ,  1.4823705    ,  1.8385323    ,  1.8259729    ,  1.8717290    ,
 Energy      ,  3.2361665    ,  3.0988917    ,  2.6850317    ,  3.0547323    ,  3.1119316    ,  3.0440602    ,  3.0499759    ,  3.0807257    ,  3.0953023    ,  3.1336112    ,
 CMN         ,  2.0061514    ,  1.4431436    ,  1.4690174    ,  1.1894225    ,  1.3742352    ,  1.4337114    ,  1.4436824    ,  1.3548297    ,  1.4879054    ,  1.4765550    ,
 OBS         ,  1.7174002    , 0.46129063    , 0.32358119    ,-0.10020170    , 0.25874129    , 0.28692481    , 0.27445483    ,-4.10728231E-02, 0.25225917    , 0.24078415    ,
 Trade       ,  1.9901675    ,  1.7149271    ,  1.3470826    ,  1.4740108    ,  1.2270904    ,  1.5180922    ,  1.5166928    ,  1.1315947    ,  1.3984412    ,  1.2946186    ,
 Transport   ,  2.2410302    ,  1.8114030    ,  1.8100171    ,  1.6849651    ,  1.7606174    ,  1.8471100    ,  1.8288696    ,  1.8823078    ,  1.8477669    ,  1.8984454    ,
 OthServices ,  1.8253436    ,-7.58126527E-02,-0.89792007    ,-0.73409235    ,-0.69494021    ,-0.22032030    ,-0.33188647    ,-0.80879235    ,-0.54732674    , 6.33760616E-02,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  19.463064    , -2.6238670    , -1.6770165    , -3.8935072    , -4.0710397    , -2.7872522    , -1.0505282    ,-0.68529761    , 0.47529307    , 2.19333917E-02,
 Extraction  ,  33.429996    , -6.6690888    , -4.4642200    , -7.4300179    , -8.6420307    , -4.3416986    , -1.4608889    , -3.0649576    , -1.8158032    , -1.9096675    ,
 LightMnfc   ,  8.8324976    , 0.30688193    ,  3.1647484    , -1.0147139    , -2.1107135    ,-0.51402503    ,-0.30239993    ,-0.22730468    , 0.56913006    ,  1.1573651    ,
 HeavyMnfc   ,  9.7051277    ,-0.70158589    ,  4.3354301    , -1.1039045    , -1.7119312    ,-0.36013797    ,-0.45853910    ,-0.20921527    , 2.93334890E-02, 0.75011182    ,
 Energy      ,  12.859846    , -2.7842247    , 0.44694185    , -3.4044063    , -4.4207864    , -2.6533468    , -2.2259035    , -1.5323699    , -1.4526160    , -1.1417612    ,
 CMN         ,  11.530984    ,-0.43443680    ,  1.1359304    , -1.1966010    , -1.6751852    ,-0.45246273    ,-0.28108954    , 0.40701622    , 0.67511964    ,  1.5006458    ,
 OBS         ,  6.8226566    ,  1.1980101    ,  3.1330597    , 0.87907821    ,-0.28065521    , 0.88641232    ,  1.7004312    ,  2.5949497    ,  2.0505872    ,  3.1599441    ,
 Trade       ,  9.7747765    , -1.0726278    ,  1.0719442    , -1.8383299    , -1.0455418    ,-0.76564163    ,-0.54218251    , 0.50390023    , 0.15621227    ,  2.0090542    ,
