

 ! The solution file is: Results/18AiSecW

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -11.182628    ,
 China       , -13.296833    ,
 xAmericas   , -10.721074    ,
 AdvancedAsia, -13.927721    ,
 SouthAsia   , -12.889121    ,
 xAsia       , -9.4441252    ,
 WEuroCndANZ , -12.701859    ,
 MENA        , -7.3478894    ,
 SSA         , -4.2941694    ,
 RestofWorld , -6.6621275    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  24.982918    ,
 China       ,  19.534725    ,
 xAmericas   ,  37.622890    ,
 AdvancedAsia,  26.743483    ,
 SouthAsia   ,  20.886686    ,
 xAsia       ,  30.053413    ,
 WEuroCndANZ ,  33.766766    ,
 MENA        ,  60.156418    ,
 SSA         ,  48.116249    ,
 RestofWorld ,  51.501335    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  15.439113    ,  11.926929    ,  17.659021    ,  20.670134    ,  19.378942    ,  25.027863    ,  17.320467    ,  17.663866    ,  28.066626    ,  20.818968    ,
 Extraction  ,  67.209740    ,  58.945251    ,  68.107437    ,  68.083527    ,  60.630722    ,  66.995346    ,  69.185081    ,  66.887634    ,  66.645325    ,  66.172234    ,
 LightMnfc   ,-3.14572360E-03, -1.5907811    ,-0.32078037    , -4.0318651    , -1.4712759    , 0.81448543    , -1.8125309    ,  1.3741473    ,  7.1476808    ,  5.6636944    ,
 HeavyMnfc   ,-0.84971827    , 0.87399954    , 0.56956846    , -2.1678286    , 0.31118053    ,-0.40080819    ,-0.90571719    ,  3.7176678    ,  4.6975632    ,  17.743368    ,
 Energy      ,  34.388023    ,  32.207283    ,  34.705868    ,  35.303139    ,  26.560198    ,  37.890629    ,  27.102579    ,  42.713928    ,  35.253490    ,  39.519314    ,
 CMN         , -20.023500    , -18.630405    , -18.511974    , -21.198359    , -23.653835    , -18.037897    , -18.385757    , -14.962441    , -11.359770    , -14.774230    ,
 OBS         , -21.917126    , -18.296970    , -19.889832    , -21.100031    , -26.214903    , -17.797819    , -18.611187    , -13.697021    , -11.345051    , -14.103162    ,
 Trade       , -4.6168585    , -13.126490    , -9.3668432    , -11.996870    , -14.196601    , -9.6533461    , -7.7581553    , -7.4501171    , 0.69249564    , -8.9139538    ,
 Transport   , -2.0122223    , -12.333779    , -1.1741174    , -8.8114796    , -11.290019    ,  1.8184646    , -2.1985726    ,  5.9340892    ,  2.3341317    ,  10.217816    ,
 OthServices , -19.900351    , -17.479313    , -18.372295    , -19.790632    , -21.400539    , -14.700059    , -17.813110    , -11.346733    , -9.4748144    , -11.717373    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -3.8371031    , -7.4033656    ,  4.3944206    , -9.6418533    , -11.823082    , -7.6396828    ,-0.46659151    ,  24.912308    ,  2.7243307    ,  16.955631    ,
 Extraction  , -33.631725    , -34.740925    , -27.029638    , -35.242744    , -34.344105    , -30.706350    , -31.077108    , -16.494120    , -15.018165    , -15.274850    ,
 LightMnfc   ,  10.365462    ,  5.3798313    ,  22.737915    ,  14.611218    ,  6.9419751    ,  16.516987    ,  19.183315    ,  41.399338    ,  25.632290    ,  30.245180    ,
 HeavyMnfc   ,  13.034170    ,-0.40498176    ,  21.359043    ,  12.640657    ,  4.8538084    ,  18.207827    ,  18.796919    ,  34.757771    ,  24.642683    , -10.346419    ,
 Energy      , -17.398483    , -21.607656    , -8.7877626    , -19.372896    , -16.794180    , -14.591001    , -8.1246796    ,  3.9760497    ,  4.8075614    ,  1.3537982    ,
 CMN         ,  38.813477    ,  27.353632    ,  50.774742    ,  38.538071    ,  38.462708    ,  43.656174    ,  43.063183    ,  72.958557    ,  59.426914    ,  65.858192    ,
 OBS         ,  42.449215    ,  26.788679    ,  53.377388    ,  38.388035    ,  47.089302    ,  42.507385    ,  43.370564    ,  69.796700    ,  53.510967    ,  61.915325    ,
 Trade       ,  15.263375    ,  19.335449    ,  35.704712    ,  25.083574    ,  22.829624    ,  30.379446    ,  26.547342    ,  59.364918    ,  30.931107    ,  55.394890    ,
 Transport   ,  13.247256    ,  18.669777    ,  24.171904    ,  22.054289    ,  19.286297    ,  15.590352    ,  19.401356    ,  38.626690    ,  37.965412    ,  27.793789    ,
 OthServices ,  38.585583    ,  25.586540    ,  50.524452    ,  36.020103    ,  34.013748    ,  37.989742    ,  42.084175    ,  66.975616    ,  56.072449    ,  60.083286    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  187.48927    ,  81.607285    ,  137.20120    ,  167.36497    ,  70.485504    ,  68.973251    ,  201.32695    ,  152.40086    ,  105.35020    ,  93.886276    ,
 Tech_AsPros ,  8.6122875    , -10.481429    ,  11.421367    ,  6.0192246    , -4.7936749    ,  2.1951544    ,  12.215676    ,  22.440300    ,  17.223433    ,  7.4207554    ,
 Clerks      ,  8.0344973    , -8.2951221    ,  10.786751    ,  6.4713554    , -6.7433720    ,  1.4084948    ,  11.842628    ,  21.131178    ,  16.835552    ,  6.2160931    ,
 Service_Shop,  7.3398442    , -8.6348047    ,  11.148694    ,  4.0273900    , -7.2458987    ,  2.0716050    ,  10.998962    ,  22.000813    ,  18.698839    ,  5.7298198    ,
 Off_Mgr_Pros,  7.6871719    , -9.9177561    ,  11.727888    ,  6.5083547    , -5.4232087    ,  2.6707268    ,  12.203784    ,  23.990583    ,  18.305645    ,  6.7579470    ,
 Ag_OthLowSk ,  12.599864    ,-0.83106673    ,  15.987935    ,  11.071819    ,  5.9586062    ,  8.7801228    ,  17.326632    ,  27.777258    ,  38.335682    ,  8.4296465    ,
 Capital     , -18.989307    , -17.634150    , -21.926018    , -24.852715    , -24.710079    , -20.963591    , -21.222080    , -20.939802    , -15.675348    , -17.676456    ,
 NatRes      ,  367.35193    ,  406.17957    ,  432.01877    ,  559.62201    ,  425.11365    ,  391.22397    ,  456.12717    ,  328.07062    ,  381.89716    ,  344.03064    ,
 Agriculture ,  15.439113    ,  11.926929    ,  17.659021    ,  20.670134    ,  19.378942    ,  25.027863    ,  17.320467    ,  17.663866    ,  28.066626    ,  20.818968    ,
 Extraction  ,  67.209740    ,  58.945251    ,  68.107437    ,  68.083527    ,  60.630722    ,  66.995346    ,  69.185081    ,  66.887634    ,  66.645325    ,  66.172234    ,
 LightMnfc   ,-3.14572360E-03, -1.5907811    ,-0.32078037    , -4.0318651    , -1.4712759    , 0.81448543    , -1.8125309    ,  1.3741473    ,  7.1476808    ,  5.6636944    ,
 HeavyMnfc   ,-0.84971827    , 0.87399954    , 0.56956846    , -2.1678286    , 0.31118053    ,-0.40080819    ,-0.90571719    ,  3.7176678    ,  4.6975632    ,  17.743368    ,
 Energy      ,  34.388023    ,  32.207283    ,  34.705868    ,  35.303139    ,  26.560198    ,  37.890629    ,  27.102579    ,  42.713928    ,  35.253490    ,  39.519314    ,
 CMN         , -20.023500    , -18.630405    , -18.511974    , -21.198359    , -23.653835    , -18.037897    , -18.385757    , -14.962441    , -11.359770    , -14.774230    ,
 OBS         , -21.917126    , -18.296970    , -19.889832    , -21.100031    , -26.214903    , -17.797819    , -18.611187    , -13.697021    , -11.345051    , -14.103162    ,
 Trade       , -4.6168585    , -13.126490    , -9.3668432    , -11.996870    , -14.196601    , -9.6533461    , -7.7581553    , -7.4501171    , 0.69249564    , -8.9139538    ,
 Transport   , -2.0122223    , -12.333779    , -1.1741174    , -8.8114796    , -11.290019    ,  1.8184646    , -2.1985726    ,  5.9340892    ,  2.3341317    ,  10.217816    ,
 OthServices , -19.900351    , -17.479313    , -18.372295    , -19.790632    , -21.400539    , -14.700059    , -17.813110    , -11.346733    , -9.4748144    , -11.717373    ,
 CGDS        , -10.931208    , -13.051399    , -10.468349    , -13.684073    , -12.642532    , -9.1877842    , -12.454721    , -7.0856142    , -4.0232506    , -6.3979120    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  16.905449    ,  16.265312    ,  15.112806    ,  15.093319    ,  17.563560    ,  15.891883    ,  15.990871    ,  16.012224    ,  18.072048    ,  15.321464    ,
 Extraction  ,  64.410912    ,  62.355583    ,  62.784245    ,  63.283535    ,  63.801373    ,  62.962391    ,  63.523251    ,  63.315556    ,  63.338165    ,  62.641106    ,
 LightMnfc   , -1.5846947    , -1.3533098    , -1.2089498    , -1.2919934    , -1.0916913    , -1.7260197    , -1.4816972    , -1.1943152    ,-0.71850663    ,-0.90033454    ,
 HeavyMnfc   ,-0.18518667    , -1.2624598    ,-0.32999754    ,-0.50982845    , 0.16956919    ,-0.73137712    ,-0.48170599    , 0.43646708    , 0.53903913    ,  1.3367209    ,
 Energy      ,  30.983549    ,  34.615738    ,  32.638260    ,  34.172115    ,  33.588852    ,  33.883488    ,  31.286238    ,  32.345753    ,  31.910357    ,  34.689758    ,
 CMN         , -18.954767    , -18.961243    , -18.884718    , -19.016163    , -18.575483    , -18.928263    , -18.885109    , -18.790112    , -18.790411    , -18.840450    ,
 OBS         , -19.756002    , -19.822077    , -19.786488    , -19.935371    , -19.329958    , -19.814953    , -19.764557    , -19.727457    , -19.816952    , -19.776396    ,
 Trade       , -9.8838911    , -9.6781445    , -8.9529924    , -9.4836292    , -8.8960047    , -9.4634056    , -9.0992718    , -8.8199539    , -9.0917196    , -8.4081039    ,
 Transport   , -2.6866982    , -1.8753257    , -2.3290505    , -2.9811416    , -2.1825604    , -2.3939850    , -2.1703093    , -2.8651199    , -2.4112213    , -2.4076424    ,
 OthServices , -17.515553    , -18.038986    , -18.124243    , -18.177887    , -18.012520    , -18.023314    , -18.085484    , -18.137850    , -18.141354    , -18.011101    ,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -6.8818431    , -15.957948    ,  10.381688    ,  1.9409969    , -8.3106985    ,  12.068966    ,  2.4675748    ,  29.495480    ,  26.364595    ,  31.696747    ,
 Extraction  , -27.605997    , -41.497421    , -13.882377    , -24.825863    , -40.629601    , -21.412569    , -17.876261    , -6.6543798    , -5.7796674    , -5.3682933    ,
 LightMnfc   ,  15.989471    ,  4.5909700    ,  26.210938    ,  4.9816308    ,  5.6676497    ,  26.167150    ,  17.939985    ,  53.177170    ,  59.345318    ,  59.073689    ,
 HeavyMnfc   ,  10.252842    ,  7.8728995    ,  25.494837    ,  5.7971678    ,  5.4077406    ,  19.682661    ,  16.920082    ,  51.923603    ,  44.982738    ,  56.902710    ,
 Energy      , -12.183271    , -24.912745    , -5.3585062    , -17.741741    , -26.861389    , -8.3646622    , -14.956712    ,  24.477339    ,  11.257050    ,  10.241568    ,
 CMN         ,  35.356163    ,  28.343296    ,  52.093876    ,  31.531353    ,  22.516264    ,  46.668602    ,  44.741165    ,  88.775482    ,  88.280945    ,  82.002098    ,
 OBS         ,  35.248436    ,  31.410139    ,  53.002151    ,  34.588268    ,  24.156145    ,  49.395752    ,  47.311634    ,  94.850212    ,  85.788231    ,  84.361588    ,
 Trade       ,  28.399384    ,  10.827886    ,  34.535118    ,  18.567368    ,  9.6075745    ,  29.860229    ,  30.118244    ,  63.944649    ,  58.997681    ,  53.768314    ,
 Transport   ,  14.743243    , -4.2049994    ,  26.976515    ,  8.4957342    ,-0.92881948    ,  25.252531    ,  19.335821    ,  63.456371    ,  50.990425    ,  61.026787    ,
 OthServices ,  30.998857    ,  27.237425    ,  49.650551    ,  30.922035    ,  23.588621    ,  48.924229    ,  42.992294    ,  94.568146    ,  89.319405    ,  84.494652    ,


 ! Variable pim # market price of composite import i in region r #
 ! Variable pim(TRAD_COMM:REG) of size 10x10
 
 pim(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  16.905449    ,  16.265312    ,  15.112806    ,  15.093319    ,  17.563560    ,  15.891883    ,  15.990871    ,  16.012224    ,  18.072048    ,  15.321464    ,
 Extraction  ,  64.410912    ,  62.355583    ,  62.784245    ,  63.283535    ,  63.801373    ,  62.962391    ,  63.523251    ,  63.315556    ,  63.338165    ,  62.641106    ,
 LightMnfc   , -1.5846947    , -1.3533098    , -1.2089498    , -1.2919934    , -1.0916913    , -1.7260197    , -1.4816972    , -1.1943152    ,-0.71850663    ,-0.90033454    ,
 HeavyMnfc   ,-0.18518667    , -1.2624598    ,-0.32999754    ,-0.50982845    , 0.16956919    ,-0.73137712    ,-0.48170599    , 0.43646708    , 0.53903913    ,  1.3367209    ,
 Energy      ,  30.983549    ,  34.615738    ,  32.638260    ,  34.172115    ,  33.588852    ,  33.883488    ,  31.286238    ,  32.345753    ,  31.910357    ,  34.689758    ,
 CMN         , -18.954767    , -18.961243    , -18.884718    , -19.016163    , -18.575483    , -18.928263    , -18.885109    , -18.790112    , -18.790411    , -18.840450    ,
 OBS         , -19.756002    , -19.822077    , -19.786488    , -19.935371    , -19.329958    , -19.814953    , -19.764557    , -19.727457    , -19.816952    , -19.776396    ,
 Trade       , -9.8838911    , -9.6781445    , -8.9529924    , -9.4836292    , -8.8960047    , -9.4634056    , -9.0992718    , -8.8199539    , -9.0917196    , -8.4081039    ,
 Transport   , -2.6866982    , -1.8753257    , -2.3290505    , -2.9811416    , -2.1825604    , -2.3939850    , -2.1703093    , -2.8651199    , -2.4112213    , -2.4076424    ,
 OthServices , -17.515553    , -18.038986    , -18.124243    , -18.177887    , -18.012520    , -18.023314    , -18.085484    , -18.137850    , -18.141354    , -18.011101    ,


 ! Variable ppd # price of domestic i to private households in s #
 ! Variable ppd(TRAD_COMM:REG) of size 10x10
 
 ppd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  15.439113    ,  11.926929    ,  17.659021    ,  20.670134    ,  19.378942    ,  25.027863    ,  17.320467    ,  17.663866    ,  28.066626    ,  20.818968    ,
 Extraction  ,  67.209740    ,  58.945251    ,  68.107437    ,  68.083527    ,  60.630722    ,  66.995346    ,  69.185081    ,  66.887634    ,  66.645325    ,  66.172234    ,
 LightMnfc   ,-3.14572360E-03, -1.5907811    ,-0.32078037    , -4.0318651    , -1.4712759    , 0.81448543    , -1.8125309    ,  1.3741473    ,  7.1476808    ,  5.6636944    ,
 HeavyMnfc   ,-0.84971827    , 0.87399954    , 0.56956846    , -2.1678286    , 0.31118053    ,-0.40080819    ,-0.90571719    ,  3.7176678    ,  4.6975632    ,  17.743368    ,
 Energy      ,  34.388023    ,  32.207283    ,  34.705868    ,  35.303139    ,  26.560198    ,  37.890629    ,  27.102579    ,  42.713928    ,  35.253490    ,  39.519314    ,
 CMN         , -20.023500    , -18.630405    , -18.511974    , -21.198359    , -23.653835    , -18.037897    , -18.385757    , -14.962441    , -11.359770    , -14.774230    ,
 OBS         , -21.917126    , -18.296970    , -19.889832    , -21.100031    , -26.214903    , -17.797819    , -18.611187    , -13.697021    , -11.345051    , -14.103162    ,
 Trade       , -4.6168585    , -13.126490    , -9.3668432    , -11.996870    , -14.196601    , -9.6533461    , -7.7581553    , -7.4501171    , 0.69249564    , -8.9139538    ,
 Transport   , -2.0122223    , -12.333779    , -1.1741174    , -8.8114796    , -11.290019    ,  1.8184646    , -2.1985726    ,  5.9340892    ,  2.3341317    ,  10.217816    ,
 OthServices , -19.900351    , -17.479313    , -18.372295    , -19.790632    , -21.400539    , -14.700059    , -17.813110    , -11.346733    , -9.4748144    , -11.717373    ,


 ! Variable qpd # private hhld demand for domestic i in region s #
 ! Variable qpd(TRAD_COMM:REG) of size 10x10
 
 qpd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
