

 ! The solution file is: SaveSims/01Ref

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -6.9295254    ,
 China       ,-7.89821818E-02,
 xAmericas   ,  1.6916815    ,
 AdvancedAsia, 0.53155589    ,
 SouthAsia   , 0.74571788    ,
 xAsia       ,  1.1134560    ,
 WEuroCndANZ , 0.63969463    ,
 MENA        ,  2.2175517    ,
 SSA         ,  1.2878991    ,
 RestofWorld ,  1.8109218    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.185783    ,
 China       , 0.15658575    ,
 xAmericas   ,-0.58124089    ,
 AdvancedAsia, -3.3370867    ,
 SouthAsia   , -3.5008862    ,
 xAsia       , -2.5855017    ,
 WEuroCndANZ ,-0.65774000    ,
 MENA        , -2.5374553    ,
 SSA         ,-6.89490885E-02,
 RestofWorld , 0.38712022    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  11.820520    , 0.35923156    ,  3.1727836    , 0.55990261    , -1.9662576    ,-0.52722758    ,  1.4169816    ,  1.2321398    ,  1.0846860    , 0.54316044    ,
 Extraction  ,  15.218300    ,  3.8478544    ,  7.3074808    ,  3.8832316    ,  3.5431948    ,  4.8837657    ,  6.8949203    ,  5.9575310    ,  6.2048731    ,  5.3352489    ,
 LightMnfc   , -4.9473729    ,  1.4605117    ,  3.5544639    ,  1.8767378    ,  1.8532046    ,  2.5271521    ,  2.0543735    ,  3.5175941    ,  2.9898236    ,  3.3127358    ,
 HeavyMnfc   , -5.3297529    ,  1.9599495    ,  3.7847617    ,  2.4632318    ,  2.9471996    ,  2.9529421    ,  2.2730343    ,  4.6457467    ,  3.6449351    ,  4.0733023    ,
 Energy      ,  4.4662075    ,  3.6049631    ,  6.4717035    ,  4.7821379    ,  3.5749636    ,  4.8356915    ,  4.7135129    ,  5.9938498    ,  5.0814757    ,  4.9080529    ,
 CMN         , -7.3773074    ,  1.5795858    ,  4.2765832    ,  2.3174467    ,  2.2779877    ,  3.4917829    ,  2.6220982    ,  4.7283978    ,  3.5514514    ,  4.3538780    ,
 OBS         , -8.0474186    ,  1.0905699    ,  3.8006275    ,  1.6273307    ,  1.5406415    ,  2.2198362    ,  2.1899555    ,  3.8829472    ,  2.7612643    ,  3.8842106    ,
 Trade       , -7.2886133    ,  1.2348825    ,  4.3000393    ,  2.1528046    ,  3.1167579    ,  3.1869016    ,  2.2695558    ,  5.1182303    ,  2.9636278    ,  5.5560780    ,
 Transport   , -3.5493121    ,  1.7922993    ,  4.4850383    ,  2.3919423    ,  2.3108578    ,  3.4773726    ,  2.8815985    ,  5.1085434    ,  3.5777664    ,  4.5054011    ,
 OthServices , -7.0949469    ,  1.2674650    ,  3.8376009    ,  2.0404222    ,  1.9608040    ,  2.7945199    ,  2.2081373    ,  3.9124596    ,  2.9079864    ,  3.6890669    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  21.647223    ,-0.28058472    , -1.9710027    , -3.3330455    ,-0.74470448    ,-0.29820988    , -1.4177003    , -1.3029721    , 0.11100847    ,  1.6658578    ,
 Extraction  ,  17.900612    , -3.5535164    , -5.7630286    , -6.3352518    , -5.9419794    , -5.6658912    , -6.5010772    , -5.8930850    , -4.7051520    , -2.9404202    ,
 LightMnfc   ,  46.710289    , -1.5119469    , -3.9684656    , -4.8864222    , -4.5770125    , -4.0173993    , -2.4042363    , -6.0638013    , -2.4622135    , -1.5703064    ,
 HeavyMnfc   ,  60.296658    , -1.9015875    , -5.4440260    , -5.7615194    , -6.2592745    , -4.4157329    , -3.6601124    , -8.8314762    , -5.0690870    , -4.8099794    ,
 Energy      ,  30.239050    , -3.4047432    , -5.0446229    , -7.2583051    , -6.1368484    , -6.0442438    , -4.5225925    , -6.0098038    , -3.6765881    , -2.5765419    ,
 CMN         ,  47.008671    , -1.4907682    , -3.0704513    , -5.0708041    , -5.0201612    , -4.8698854    , -2.6066673    , -5.5455184    , -2.3265100    , -2.0817084    ,
 OBS         ,  49.070984    , -1.0081673    , -2.6517947    , -4.4619055    , -4.5637555    , -3.9631934    , -2.2451634    , -4.6786218    , -2.3358078    , -2.3784468    ,
 Trade       ,  49.174778    , -1.1359551    , -3.6192713    , -4.9633741    , -5.7401609    , -4.6507349    , -2.2500210    , -6.6208439    , -2.5082760    , -3.8104367    ,
 Transport   ,  41.521721    , -1.6696537    , -3.4638135    , -5.2251196    , -4.9855099    , -4.8275743    , -2.8279843    , -5.5084567    , -2.3777540    , -2.2619777    ,
 OthServices ,  46.446133    , -1.1832449    , -2.6529243    , -4.7780275    , -4.6664281    , -4.2155213    , -2.1900449    , -4.2564363    , -1.7443280    , -1.4563980    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  158.03720    , -1.6488646    , -1.0314345    , -4.0041461    , -8.9793577    , -3.3224821    , -2.7618368    , -12.232828    , -2.7521191    , -7.1822443    ,
 Tech_AsPros , -10.144353    ,-0.80820376    , 0.55681270    , -2.4394722    , -2.7031696    , -1.9773331    ,-0.62665784    , -1.3598511    , 0.10497754    , 0.68082839    ,
 Clerks      , -10.143421    ,-0.63369125    , 0.81521511    , -2.3413804    , -1.6545368    ,-0.97711205    ,-0.50344253    , -1.0550175    , 0.15067014    ,  1.0455012    ,
 Service_Shop, -10.167869    ,-0.72218323    , 0.96504122    , -2.5242212    , -1.7901486    , -1.9448237    ,-0.26479864    ,-0.76970756    , 9.00622979E-02,  2.0872693    ,
 Off_Mgr_Pros, -10.178500    ,-0.84061587    , 0.40676060    , -2.7642596    , -2.4949474    , -2.0684960    ,-0.60981756    , -1.3568916    , 1.69443749E-02, 0.31987727    ,
 Ag_OthLowSk , -9.3032265    ,-0.24459648    , 0.43936631    , -2.6963093    , -2.7810600    , -2.0761871    ,-0.73250216    , -3.1218557    ,-0.51373351    ,-0.88274395    ,
 Capital     , -2.5946033    ,  3.2317603    ,  7.7857614    ,  6.6069036    ,  7.1477041    ,  7.2340231    ,  5.6738124    ,  9.1121378    ,  7.1209641    ,  7.6410928    ,
 NatRes      ,  89.353912    ,  15.596943    ,  15.421051    ,  7.6380601    ,  7.3325891    ,  7.0875072    ,  22.132662    ,  5.0933166    ,  12.226709    ,  6.2014050    ,
 Agriculture ,  11.820520    , 0.35923156    ,  3.1727836    , 0.55990261    , -1.9662576    ,-0.52722758    ,  1.4169816    ,  1.2321398    ,  1.0846860    , 0.54316044    ,
 Extraction  ,  15.218300    ,  3.8478544    ,  7.3074808    ,  3.8832316    ,  3.5431948    ,  4.8837657    ,  6.8949203    ,  5.9575310    ,  6.2048731    ,  5.3352489    ,
 LightMnfc   , -4.9473729    ,  1.4605117    ,  3.5544639    ,  1.8767378    ,  1.8532046    ,  2.5271521    ,  2.0543735    ,  3.5175941    ,  2.9898236    ,  3.3127358    ,
 HeavyMnfc   , -5.3297529    ,  1.9599495    ,  3.7847617    ,  2.4632318    ,  2.9471996    ,  2.9529421    ,  2.2730343    ,  4.6457467    ,  3.6449351    ,  4.0733023    ,
 Energy      ,  4.4662075    ,  3.6049631    ,  6.4717035    ,  4.7821379    ,  3.5749636    ,  4.8356915    ,  4.7135129    ,  5.9938498    ,  5.0814757    ,  4.9080529    ,
 CMN         , -7.3773074    ,  1.5795858    ,  4.2765832    ,  2.3174467    ,  2.2779877    ,  3.4917829    ,  2.6220982    ,  4.7283978    ,  3.5514514    ,  4.3538780    ,
 OBS         , -8.0474186    ,  1.0905699    ,  3.8006275    ,  1.6273307    ,  1.5406415    ,  2.2198362    ,  2.1899555    ,  3.8829472    ,  2.7612643    ,  3.8842106    ,
 Trade       , -7.2886133    ,  1.2348825    ,  4.3000393    ,  2.1528046    ,  3.1167579    ,  3.1869016    ,  2.2695558    ,  5.1182303    ,  2.9636278    ,  5.5560780    ,
 Transport   , -3.5493121    ,  1.7922993    ,  4.4850383    ,  2.3919423    ,  2.3108578    ,  3.4773726    ,  2.8815985    ,  5.1085434    ,  3.5777664    ,  4.5054011    ,
 OthServices , -7.0949469    ,  1.2674650    ,  3.8376009    ,  2.0404222    ,  1.9608040    ,  2.7945199    ,  2.2081373    ,  3.9124596    ,  2.9079864    ,  3.6890669    ,
 CGDS        , -5.5919881    ,  1.3570054    ,  3.1531155    ,  1.9763174    ,  2.1935573    ,  2.5665803    ,  2.0860105    ,  3.6865435    ,  2.7435305    ,  3.2740700    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  2.0892839    ,  3.8940437    ,  6.0493708    ,  3.8170664    ,  1.6205069    ,  2.3245659    ,  2.1156662    ,  1.6707085    ,  1.0610845    ,  1.3947498    ,
 Extraction  ,  6.4253697    ,  5.9983077    ,  7.8236217    ,  5.8019619    ,  5.9729996    ,  5.5745397    ,  6.0435705    ,  5.9908080    ,  5.9739480    ,  5.5093288    ,
 LightMnfc   ,  2.2481079    , 0.86014467    , 0.10518281    , 0.91373563    ,  1.6704398    ,  1.5837396    ,  1.4470323    ,  1.6694747    ,  1.7904845    ,  2.0323884    ,
 HeavyMnfc   ,  2.5602233    ,  1.9198815    ,-0.17306334    ,  1.4139177    ,  2.0556130    ,  1.9439976    ,  1.4895960    ,  2.2320125    ,  2.2037771    ,  2.3291545    ,
 Energy      ,  5.0692959    ,  4.9567413    ,  4.6971073    ,  4.8025675    ,  4.8657122    ,  4.6515918    ,  4.8006396    ,  4.8489323    ,  4.8478642    ,  4.8962245    ,
 CMN         ,  2.8055856    ,  1.1854352    ,  1.2826374    , 0.48578134    ,  1.0010306    ,  1.1937864    ,  1.2236707    , 0.92940557    ,  1.3264078    ,  1.3101083    ,
 OBS         ,  2.1642616    , 0.85055321    , 0.66483450    , 0.20881066    , 0.60520846    , 0.62789261    , 0.61868483    , 0.26497257    , 0.58793247    , 0.57324553    ,
 Trade       ,  2.6990776    ,  2.2196419    ,  1.6971347    ,  1.8463018    ,  1.5537231    ,  1.9183657    ,  1.9179600    ,  1.3728566    ,  1.7552847    ,  1.6550300    ,
 Transport   ,  3.1887789    ,  2.2339392    ,  2.2455947    ,  1.9613039    ,  2.1369071    ,  2.3229103    ,  2.2853529    ,  2.3912702    ,  2.3235404    ,  2.4301839    ,
 OthServices ,  2.3847678    , 0.20624860    ,-0.75866956    ,-0.60336697    ,-0.51171768    , 9.47603898E-04,-0.12131493    ,-0.66921639    ,-0.37233651    , 0.31936935    ,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  53.424217    , -8.7023792    , -8.6072531    , -10.877038    , -9.4321146    , -7.2290597    , -3.1279385    , -2.3845735    , 0.17061463    ,-0.49654672    ,
