

 ! The solution file is: 14World

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         ,  8.2976170    ,
 China       , -3.9690809    ,
 xAmericas   , -1.8462629    ,
 AdvancedAsia, -13.437517    ,
 SouthAsia   , -3.9519756    ,
 xAsia       ,  1.4489465    ,
 WEuroCndANZ , -3.8232443    ,
 MENA        ,  10.291487    ,
 SSA         ,  24.479971    ,
 RestofWorld ,  24.611652    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.438728    ,
 China       ,  17.273108    ,
 xAmericas   ,  78.907959    ,
 AdvancedAsia, -2.3982458    ,
 SouthAsia   ,  11.557488    ,
 xAsia       ,  67.205132    ,
 WEuroCndANZ ,  54.105293    ,
 MENA        ,  208.07050    ,
 SSA         ,  159.60455    ,
 RestofWorld ,  184.12962    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  49.171173    , -5.1008072    ,  42.411324    ,  40.547558    ,  13.174136    ,  42.137173    ,  40.796680    ,  50.026409    ,  67.501114    ,  56.930241    ,
 Extraction  ,  440.67526    ,  354.80457    ,  438.66125    ,  437.02933    ,  384.59875    ,  425.94131    ,  449.18466    ,  432.60312    ,  434.41202    ,  433.12433    ,
 LightMnfc   ,  13.824528    ,  7.9514275    ,  11.209285    ,-0.39488393    ,  12.119359    ,  17.929636    ,  10.235497    ,  16.471945    ,  29.836475    ,  49.584900    ,
 HeavyMnfc   ,  20.697437    ,  40.038971    ,  36.448872    ,  25.465290    ,  46.183270    ,  29.591169    ,  24.003635    ,  52.591782    ,  45.767765    ,  133.37523    ,
 Energy      ,  254.94438    ,  220.19884    ,  248.86386    ,  252.92799    ,  193.69835    ,  259.34732    ,  205.94531    ,  291.92380    ,  239.42624    ,  273.94852    ,
 CMN         ,-0.28837067    , -17.989861    , -23.206865    , -33.426975    , -31.798878    , -23.230993    , -17.065598    , -16.091578    ,  5.5767589    ,  4.9397049    ,
 OBS         ,-4.84569669E-02, -17.812862    , -23.409693    , -32.050102    , -36.320969    , -15.535602    , -15.191341    , -5.9917164    ,  14.767800    ,  11.851282    ,
 Trade       , 0.69725877    , -29.829401    , -22.329710    , -30.047934    , -30.101896    , -20.893272    , -10.691188    , -10.021628    ,  8.8500643    ,  4.9362998    ,
 Transport   ,  79.066284    ,  9.8637886    ,  63.497307    ,  23.157585    ,  16.966381    ,  70.229156    ,  57.624962    ,  90.146523    ,  76.757622    ,  127.20427    ,
 OthServices , 0.37035540    , -12.098211    , -19.235237    , -28.537689    , -23.741083    , -9.9645462    , -13.526320    ,  1.5305173    ,  20.178595    ,  22.841072    ,


 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 10x10
 
 qgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  6.2956767    ,  18.673437    ,  23.307398    , -39.922012    , -4.9749789    ,  16.813829    ,  5.2676001    ,  114.23130    ,  58.043701    ,  125.14504    ,
 Extraction  , -70.689262    , -75.148933    , -67.492157    , -84.333946    , -77.793022    , -68.749977    , -73.087837    , -42.890686    , -39.653084    , -34.170769    ,
 LightMnfc   ,  37.536293    ,  5.0728321    ,  57.791817    , -12.564473    , -4.4488516    ,  42.715435    ,  35.313435    ,  175.70805    ,  124.64172    ,  104.87957    ,
 HeavyMnfc   ,  47.339264    , -30.844666    ,  22.576790    , -31.294947    , -33.039639    ,  30.950199    ,  24.265865    ,  68.098373    ,  84.942177    , -56.582623    ,
 Energy      , -55.319862    , -64.828568    , -49.663792    , -76.061264    , -63.517410    , -52.795574    , -51.555573    , -13.305718    , -4.7935596    , -5.3188896    ,
 CMN         ,  58.717281    ,  37.268444    ,  128.79062    ,  27.560452    ,  58.846214    ,  121.24627    ,  78.669167    ,  303.20032    ,  203.12068    ,  236.66969    ,
 OBS         ,  55.344967    ,  36.933243    ,  129.47400    ,  25.595203    ,  82.522514    ,  98.953888    ,  74.366356    ,  252.56680    ,  142.26201    ,  190.89406    ,
 Trade       ,  50.342117    ,  60.626514    ,  128.93492    ,  25.932304    ,  53.612465    ,  114.64243    ,  65.555023    ,  264.96698    ,  141.56786    ,  224.24896    ,
 Transport   , -12.320920    ,  3.5960181    ,  6.6817379    , -27.058830    , -7.1994138    ,-0.52832901    , -5.9889684    ,  73.294754    ,  80.464836    ,  53.554886    ,
 OthServices ,  58.004337    ,  28.097626    ,  117.50399    ,  18.326944    ,  40.631363    ,  88.327095    ,  71.405762    ,  233.22522    ,  165.81502    ,  187.31766    ,


 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 19x10
 
 pm(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  351.90500    ,  82.059914    ,  359.81259    ,  419.50839    ,  89.556961    ,  149.70088    ,  469.83734    ,  695.34259    ,  618.58185    ,  192.70255    ,
 Tech_AsPros , -2.6524663    , -59.539227    , -21.055809    , -48.750824    , -52.183407    , -40.407558    , -16.951803    ,  11.628681    ,  33.095200    ,  5.7956204    ,
 Clerks      , -2.2059786    , -58.944786    , -21.899479    , -48.794315    , -56.624458    , -40.554501    , -17.696182    ,  9.9591341    ,  24.279568    ,-0.31625807    ,
 Service_Shop, -1.7738353    , -59.253139    , -21.150599    , -52.512421    , -58.518795    , -38.740990    , -18.585611    ,  13.595099    ,  28.880333    ,  2.8638997    ,
 Off_Mgr_Pros, -1.5200406    , -60.328526    , -21.592916    , -48.975208    , -55.808041    , -39.559460    , -16.942905    ,  13.328986    ,  33.641869    ,  1.3978356    ,
 Ag_OthLowSk , 0.16913268    , -56.814388    , -23.322607    , -47.371254    , -57.338223    , -41.627491    , -14.524537    ,  4.7411885    ,  33.017731    , -18.799423    ,
 Capital     , -26.647301    , -21.937418    , -46.732143    , -53.463726    , -51.380192    , -45.562466    , -38.197685    , -48.512287    , -29.510059    , -29.027994    ,
 NatRes      ,  2398.5239    ,  2567.9109    ,  2797.2969    ,  3697.3232    ,  2938.0898    ,  2616.1606    ,  2997.0156    ,  2207.0337    ,  2617.7561    ,  2225.1069    ,
 Agriculture ,  49.171173    , -5.1008072    ,  42.411324    ,  40.547558    ,  13.174136    ,  42.137173    ,  40.796680    ,  50.026409    ,  67.501114    ,  56.930241    ,
 Extraction  ,  440.67526    ,  354.80457    ,  438.66125    ,  437.02933    ,  384.59875    ,  425.94131    ,  449.18466    ,  432.60312    ,  434.41202    ,  433.12433    ,
 LightMnfc   ,  13.824528    ,  7.9514275    ,  11.209285    ,-0.39488393    ,  12.119359    ,  17.929636    ,  10.235497    ,  16.471945    ,  29.836475    ,  49.584900    ,
 HeavyMnfc   ,  20.697437    ,  40.038971    ,  36.448872    ,  25.465290    ,  46.183270    ,  29.591169    ,  24.003635    ,  52.591782    ,  45.767765    ,  133.37523    ,
 Energy      ,  254.94438    ,  220.19884    ,  248.86386    ,  252.92799    ,  193.69835    ,  259.34732    ,  205.94531    ,  291.92380    ,  239.42624    ,  273.94852    ,
 CMN         ,-0.28837067    , -17.989861    , -23.206865    , -33.426975    , -31.798878    , -23.230993    , -17.065598    , -16.091578    ,  5.5767589    ,  4.9397049    ,
